<Hash=0xB412CAF>	One of us... One of us...
<Hash=0xA1E882A3>	Wait second! That's only 5 votes, there are 6 of us here... Hey Ghoul, which way do you want to vote?
<Hash=0x7E31307>	Nice to meet you, Ghoul! I have a good feeling about you. I think you are someone that I can trust - I have knack of picking-up on these things...
<Hash=0xFCA84B3A>	I hope Toralei hasn't caught the Cat Flu. It's meant to be terrible!
<Hash=0xEB91D5D6>	I think I've heard enough! What's up with you ghouls? You'd have never considered keeping the money a week ago!
<Hash=0xF291E0DB>	That's the wrong vote, Toralei! What to do with the extra fundraising Money, remember?!
<Hash=0xFD815559>	OOOH-KAAAY!!! Thanks for that Toralei... Well, I'm happy to say it's all good news. The 2nd fundraiser exceeded all expectations. To use technical term, we made absolutely truckloads of Money! Not only will we have enough to repair and replace everything in Casketball Court, but we'll also have extra money left over for new 'To Do' list items that we're given by the students to improve the school! The Council should be proud. In a very short time we've been able to improve the student facilities at Monster High.
<Hash=0x7E997904>	What about funds for the repairs to the Casketball Court? Can we get the Ghoul to take the money to Bloodgood, so the improvements can be rolled out?
<Hash=0xFF81587F>	Do you have a question Spectra?
<Hash=0x1815BA5>	WHAT?!!!
<Hash=0x3815ECB>	Toralei, we can't do that!
<Hash=0xCC9550BF>	By King Tut's toes, get a move on Toralei! We can't start spending those 'dollar-dollar bills' until the vote's official and we're not getting any younger here! I can't wait to soak my furry foots in that bubbling warm water...aahhhhh!
<Hash=0x5734D08C>	How about we go out there and talk to the students to find out what they need and want? We could take notes and then make a list of projects based on popularity. I think this would be the fairest way for the Council to choose projects and prioritize them.
<Hash=0x5950CAA8>	Let's hope these flyers get the students excited enough about the Bake Sale. I want us to earn enough funds to start fixing things around Monster High!
<Hash=0xFD85B7B6>	Uh, Spectra, are you OK?
<Hash=0x9B7FE1A6>	Why not ask the Cooking Club to help us out? There's already tons of buzz around the school about the Fundraiser, so I'm sure that the Cooking Club would be happy to lend a helping hand or spatula.
<Hash=0xDED00453>	Hey, how did you do? Wow! That's a pretty heavy money bag, it looks like you've done great job of selling those cookies.
<Hash=0xE2D00A9F>	Spectra! Leave the Ghoul alone. You're not even supposed to be here, much less trying to handle the money. I'm Council Treasurer. That means I'm in charge of all of the Council funds. If you don't like it, you can always run against me in the next election.
<Hash=0xE1D0090C>	I'm sorry about that, I don't know what's up with her! It's sooo strange, usually she's more interested in the latest news than causing trouble. Oh well, don't take it to heart. Sometimes money brings out the worst in us!
<Hash=0xE4D00DC5>	Vot's up vith dat Spectra lately?! She's been totally cray-cray of late. But, trying to take da fundraising money, dat's too much!
<Hash=0x2998ABE5>	Hey everyone, I'm happy to say that the Bake Sale has been a HUGE success! Not only did we raise enough funds for a gigantic flat-screen TV for the Creepateria, but also to replace the seats - upgrading their cushions to plush top-of-the-line spider-silk. Additionally, there was even enough funds left over to repair the Vending Machines and re-stock them with BooBoo Fruits. All your hard work has paid off, you should all be very proud of yourselves!
<Hash=0x2298A0E0>	OK Spectra, that's enough!!! You're not getting anywhere near that money. So stop it, you're starting to freak us all out!
<Hash=0x2E98B3C4>	I hope all that wiggy stuff with Spectra didn't totally freak you out. The ghoul's been acting a few cards short of a deck lately. Ever since she started hanging around with Cleo, all that royal stuff seems to have gone to her head. Look, you're one of the people at Monster High that I know I can trust with the Money. Could you do me a favor and deliver the funds to Headmistress Bloodgood? I've got an appointment with the Scaredresser, so I won't be able to make it today. But if you can take it to her for me, the contractors can be contacted and the improvements made overnight...
<Hash=0x63F25AB5>	Considering we completely sold out of cookies at the last Bake Sale, I suggest we increase the quantity, so that we can raise even more funds. Additionally, we should probably change the type of cookies, so that the students don't become bored hmm?
<Hash=0x9A20F17C>	We've already discussed this once before Spectra. The answer is NO! Please don't bring it up again!
<Hash=0x151B27C4>	Oh, hello. We did better than last time, huh? OH MY GHOUL!!! That money bag is gargantuan! How are you lifting that thing?
<Hash=0x111B2178>	Catrine! Leave her alone. We've come to expect this whacked-out junk from Spectra lately, but not you! You know I'm Council Treasurer and I look after all of the Council funds. So, cool your jets and go away!!!
<Hash=0x141B2631>	I am really sorry, you shouldn't have to put up with that. Things have been crazier than usual 'round here and I don't have a clue what's going on! Maybe it's something in the water? But Catrine, it just makes no sense. We'd better start being extra careful when handling the Council funds. It's getting hard to know who to trust.
<Hash=0x131B249E>	I don't know why, but I really trust you Ghoul!
<Hash=0xB4A0A2B3>	One of us... One of us... One of us... One of us... One of us... One of us... One of us... One of us... One of us...
<Hash=0xC2A0B8BD>	Woo Hoooo! Go Spook'em! Yaaay! Booya! Hail to the King! Ra Ra Ra!!! Take it over! Spook'em rules! Curse 'em all! Yeah, monsters!
<Hash=0xC0A2F42E>	Woo Hoooo! Go Spook'em! Yaaay! Booya! Hail to the King! Ra Ra Ra!!! Take it over! Spook'em rules! Curse 'em all! Yeah, monsters!
<Hash=0x37AAE2CB>	Woo Hoooo! Go Queen Cleo! Yaaay! Booya! Go Cursed Ones! Ra Ra Ra!!! Ya smashed it! Cleo rules! Cursed forever! YAAAAYY!!!!
<Hash=0x3DAAEC3D>	Woo Hoooo! Go Queen Cleo! Yaaay! Booya! Go Cursed Ones! Ra Ra Ra!!! Ya smashed it! Cleo rules! Cursed forever! YAAAAYY!!!!
<Hash=0xA5FE4DB2>	HOOORRAAAAAHHHHHH!!!!!!
<Hash=0x9DECA474>	Woo Hoooo! Go Ghouls! Yaaay! Booya! A-NILE-8-ORS 4ever! Ra Ra Ra!!! You can do it! Come on! Show Cleo whats what! YAAAAYY!!!!
<Hash=0x38559214>	Elissabat, you've got food to finish. You'll have to find out what's up later.
<Hash=0xFDCCC09B>	Oh they're gonna love today's lunch!
<Hash=0x3CCCA0D>	What's up Deuce?
<Hash=0xCCC554>	Wha!? But we made Screamy mac and cheese.
<Hash=0x2CBC02DD>	!?
<Hash=0x2ABBFFB7>	Easy bro. Don't get your serpents in a twist. You act like you can cook or something.
<Hash=0x92BEE206>	Oh wow.
<Hash=0x97BEE9E5>	Sounds great!
<Hash=0x81446820>	Um... Yes.. I mean no... Wait, what are you making?
<Hash=0x83446B46>	Oh, then yes definitely put vinegrrr in!
<Hash=0x24DFACEB>	Yeah... but why do WE have to do it?
<Hash=0x20DFA69F>	Why me?
<Hash=0xA116309E>	Chopping onions!
<Hash=0x9A57EB90>	He's like a gorgonmanster possessed!
<Hash=0x268DDB49>	Elissabat! Now is not the time, get back on garnish!
<Hash=0xB56631F2>	You seem so confident. Alright, let's do it.
<Hash=0xFA3435D3>	Yeah, you can cut these onions.
<Hash=0xD67CA15E>	I've got onions ready!
<Hash=0x8F18C4C3>	Come on in my ghoul, I was expecting you! Abbey said that you'd be stopping by to drop off the Council fundraising money. So, how have you found your first week here at Monster High?
<Hash=0xF2021B18>	That's so good to hear my dear. It's great to see a new student taking to the school like a baby Krakken swimming in the deep blue sea. It makes me all warm and toasty inside, just like the sands of the Sahara...
<Hash=0xF5021FD1>	That's sooo disappointing to hear my dear. It makes me sad to think that such a talented student could be finding things 'strange' here at Monster High. I'm sure we can do something to rectify that. Maybe you should go and speak to Cleo in private? That way you don't have to feel embarrassed. I've heard she's got some great remedies for that whole 'Strange Freaking Out' thing. I mean, she is Head Fearleader after all!
